"ID","Name","Active users","Contacts","Number of appointments booked","Total Emails","Inbound Emails","Outbound Emails","Total Text messages","Inbound Text messages","Outbound Text messages","Total Calls","Inbound Calls","Outbound Calls","Inbound Call Duration (hours)","Outbound Call Duration (hours)","Form Submissions","Survey Submissions","Facebook Lead Form Submissions","GBP Messages","Inbound GBP Messages","Outbound GBP Messages","Total Instagram Messages","Inbound Instagram Messages","Outbound Instagram Messages","Total Facebook Messages","Inbound Facebook Messages","Outbound Facebook Messages","Reviews","Google Reviews","Facebook Reviews","Positive reviews","Negative reviews","Sites Created - Funnels","Sites Created - Websites","Sites Created - Forms","Sites Created - Surveys"
"m2HId3etwPBDcWlm2RKJ","""Quality Mazda""",4,684,19,3459,9,3450,7374,1514,5860,14,14,0,"0.06","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5y9nj2ufyt5T3r8sYQzl","""Red River Nissan""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8DppPnKy1pWMstpwbpiy","""Red Rock Ford Of Dickinson""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9madBQsu2e8y0E6OjR9X","""Red Rock Harley-Davidson""",4,42,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2
"O8zxckNtUyHlQTr17jrW","""Register Chevrolet""",0,0,0,0,0,0,1,1,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7sapT2SmsjkwRS6oUBmm","""Reno Auto Warehouse""",1,116,14,452,8,444,1844,535,1309,1,1,0,"0.00","0.00",0,0,0,0,0,0,8,4,4,7,2,5,9,9,0,9,0,0,0,0,0
"SrEFsj6xejY1M0lrV73K","""RiderMarket""",6,128,7,267,15,252,1500,475,1025,86,22,64,"0.87","1.52",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMp1M4hsA7DDYpJ8rHs0","""Riverview Ford""",2,75,1,224,4,220,977,203,774,3,3,0,"0.02","0.00",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yb8HdUJKIEgrtijtXrmY","""RJ Powersports Fort Dodge""",2,6,0,0,0,0,2,0,2,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2
"ghTTwIlLtTXiUvotW1CL","""Rock Hill Powersports""",7,94,9,399,14,385,1520,407,1113,8,8,0,"0.05","0.00",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KJgVBVWU9icBZDlN4Pyc","""Rocky Mountain Yeti Jackson Hole Jeep Ram Chrysler Dodge AEV""",5,34,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2
"L6Q49xWC2g2pY4qoERKl","""Rod Hatfield CDJR""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0
"Y9lnT7IEYV0C2zHXTr7N","""Rod Hatfield Chevrolet""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0
"F9XeCSvHeOQbLhxOKs0A","""Rod Hatfield Chevrolet's Account""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e3e1HeMSxTl9IbAOueGi","""Rod Hatfield Used Car Factory""",0,1,0,0,0,0,1,1,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cPWLw52HelrIcFVxNf0p","""Rogersville Chevrolet Chrysler Dodge Jeep Ram""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gIFI704IzpxtSjVGkJw3","""Roswell Honda""",5,97,5,156,6,150,858,194,664,7,7,0,"0.03","0.00",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DestJipwOaTemPI6FNMu","""Route 1 Motorsports""",6,75,8,217,2,215,1055,331,724,3,3,0,"0.00","0.00",2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,1,0,0,0,0
"9Tu1KT10inbXHRQFm2Ow","""Royal Ford Motors of Cooperstown""",2,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OZlS3abVVx6ESeHNbne8","""Sams Auto Repair & Sales LLC""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIGmD2rBz3m4zYph5Iio","""Santa Motors""",3,117,19,445,10,435,3053,1101,1952,16,16,0,"0.48","0.00",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
